ward,time,median,mean
9455,1706745600,23.51,27.24
9367,1677628800,67.95,175.84
9367,1680307200,65.75,56.02
9367,1682899200,63.75,187.82
9367,1685577600,65.15,95.55
9367,1688169600,62.14,131.71
9367,1690848000,47.47,95.55
9367,1693526400,60.42,61.71
9367,1696118400,61.33,108.66
9367,1698796800,70,261.37
9367,1701388800,67.14,70.91
9367,1704067200,64.1,65.55
9367,1706745600,64.1,65.55
9368,1677628800,78.08,122.26
9368,1680307200,78.16,124.07
9368,1682899200,50,210.12
9368,1685577600,39.39,236.8
9368,1688169600,48.21,234.61
9368,1690848000,27.38,159.18
9368,1693526400,49.04,110.05
9368,1696118400,49.04,110.05
9368,1698796800,48.39,175.93
9368,1701388800,78.88,77.28
9368,1704067200,78.88,77.28
9368,1706745600,78.88,77.28
9380,1677628800,47.41,40.48
9380,1680307200,47.54,61.53
9380,1682899200,40.26,138.39
9380,1685577600,40.79,162.53
9380,1688169600,40,135.4
9380,1690848000,54.62,286.11
9380,1693526400,54.42,107.08
9380,1696118400,42.31,212.49
9380,1698796800,55.76,97.52
9380,1701388800,41.08,48.1
9380,1704067200,41.08,48.1
9380,1706745600,41.08,48.1
9227,1677628800,37.76,38.21
9227,1680307200,37.72,37.91
9227,1682899200,37.5,37.63
9227,1685577600,36.84,36.94
9227,1688169600,37.5,37.36
9227,1690848000,37.59,37.79
9227,1693526400,37.01,37.51
9227,1696118400,37.33,37.86
9227,1698796800,37.07,37.65
9227,1701388800,37.72,38.01
9227,1704067200,37.72,37.89
9227,1706745600,37.5,37.9
9231,1677628800,27.69,27.25
9231,1680307200,26.47,26.94
9231,1682899200,27.21,26.83
9231,1685577600,27.56,27.23
9231,1688169600,27.94,27.94
9231,1690848000,26,26.71
9231,1693526400,26.15,26.7
9231,1696118400,26.89,26.98
9231,1698796800,26.47,26.88
9231,1701388800,27.27,27.36
9231,1704067200,26.32,26.36
9231,1706745600,26.18,25.64
9234,1677628800,29.51,28.71
9234,1680307200,30.33,29.98
9234,1682899200,30.67,29.37
9234,1685577600,31.33,29.11
9234,1688169600,31.33,30
9234,1690848000,31.48,30.39
9234,1693526400,31.45,30.44
9234,1696118400,31.48,31.43
9234,1698796800,30.65,30.81
9234,1701388800,32.46,29.97
9234,1704067200,33.8,31.76
9234,1706745600,31.97,31.42
9235,1677628800,32.46,32.34
9235,1680307200,32.46,32.34
9235,1682899200,32.19,30.86
9235,1685577600,29.32,32.33
9235,1688169600,39.51,37.74
9235,1690848000,38.46,37.58
9235,1693526400,40,37.74
9235,1696118400,38.46,37.29
9235,1698796800,37.18,35.98
9235,1701388800,31,31.78
9235,1704067200,27.82,29.73
9235,1706745600,29.45,31.94
9236,1677628800,26.09,26.12
9236,1680307200,26.25,26.49
9236,1682899200,25.68,26.26
9236,1685577600,26.6,27.28
9236,1688169600,25.68,26.49
9236,1690848000,25.75,26.69
9236,1693526400,25.29,25.92
9236,1696118400,25.59,26.26
9236,1698796800,26.61,27.58
9236,1701388800,26.25,28.81
9236,1704067200,25.57,27.03
9236,1706745600,26.25,27.64
9237,1677628800,30,30.31
9237,1680307200,31,31.12
9237,1682899200,31.03,30.85
9237,1685577600,30.77,31.02
9237,1688169600,31.25,31.36
9237,1690848000,30.86,31.08
9237,1693526400,30.83,31.02
9237,1696118400,30.94,31.01
9237,1698796800,30.67,30.8
9237,1701388800,30.71,30.81
9237,1704067200,30.59,30.87
9237,1706745600,30.99,31.53
9456,1677628800,29.12,29.54
9456,1680307200,28.89,29.21
9456,1682899200,29.06,29.14
9456,1685577600,28.57,28.58
9456,1688169600,28.57,28.61
9456,1690848000,28.85,28.9
9456,1693526400,28.85,28.84
9456,1696118400,29.18,29
9456,1698796800,27.94,28.37
9456,1701388800,28.57,28.87
9456,1704067200,28.92,29.08
9456,1706745600,29.84,29.3
9459,1677628800,32.1,30.48
9459,1680307200,33.33,33.09
9459,1682899200,32.72,31.81
9459,1685577600,32.58,32.33
9459,1688169600,32.35,31.31
9459,1690848000,31.76,30.9
9459,1693526400,32.35,31.07
9459,1696118400,32.35,32.4
9459,1698796800,32.1,32.11
9459,1701388800,31.71,30.52
9459,1704067200,30,30.2
9459,1706745600,30,30.2
9460,1677628800,27.14,27.56
9460,1680307200,27.14,27.67
9460,1682899200,27.14,27.39
9460,1685577600,27.14,26.95
9460,1688169600,27.14,26.2
9460,1690848000,27.14,27.8
9460,1693526400,25.71,26.52
9460,1696118400,25.71,26.94
9460,1698796800,25.71,27.18
9460,1701388800,27.14,27.67
9460,1704067200,25.71,26.27
9460,1706745600,24.24,24.77
9461,1677628800,29.42,29.12
9461,1680307200,30.4,30.76
9461,1682899200,33.58,31.14
9461,1685577600,33.4,33.38
9461,1688169600,33.4,33.38
9461,1690848000,32.6,33.02
9461,1693526400,32.6,33.02
9461,1696118400,32.6,33.02
9461,1698796800,30.3,30.76
9461,1701388800,30.3,30.76
9461,1704067200,33.59,33.52
9461,1706745600,33.59,33.52
9462,1677628800,19.84,22.22
9462,1680307200,24.81,23.77
9462,1682899200,23.46,23.85
9462,1685577600,19.37,23.11
9462,1688169600,25,23.74
9462,1690848000,22.76,23.48
9462,1693526400,18.55,22.58
9462,1696118400,24.57,23.68
9462,1698796800,22,22.99
9462,1701388800,25.19,24.38
9462,1704067200,25,24.55
9462,1706745600,17.02,22.3
9463,1677628800,25,25.87
9463,1680307200,25.43,25.64
9463,1682899200,26,25.91
9463,1685577600,25.81,24.95
9463,1688169600,25.35,24.89
9463,1690848000,25.81,24.73
9463,1693526400,26.06,25.39
9463,1696118400,25.67,25.06
9463,1698796800,26.06,25.74
9463,1701388800,25.63,25.35
9463,1704067200,25.63,25.5
9463,1706745600,25,24.79
9464,1677628800,33.67,33.64
9464,1680307200,39.31,36.71
9464,1682899200,38.77,35.89
9464,1685577600,38.21,33.53
9464,1688169600,40.19,38.82
9464,1690848000,41.07,40.42
9464,1693526400,43.4,39.99
9464,1696118400,39.33,49.43
9464,1698796800,40,40.9
9464,1701388800,41.66,41.41
9464,1704067200,43.37,41.09
9464,1706745600,43.37,41.09
9465,1677628800,40.79,40.55
9465,1680307200,40.63,40.41
9465,1682899200,39.47,40.51
9465,1685577600,40,39.82
9465,1688169600,40.3,40.74
9465,1690848000,40.31,44.45
9465,1693526400,40,40.1
9465,1696118400,40.39,40.01
9465,1698796800,40.85,40.82
9465,1701388800,40,39.88
9465,1704067200,40,39.73
9465,1706745600,39.71,39.36
9280,1677628800,47.98,48.07
9280,1680307200,44.44,47.42
9280,1682899200,44.26,46.05
9280,1685577600,44.26,48.76
9280,1688169600,44.26,45.14
9280,1690848000,44.26,42.66
9280,1693526400,51.36,50.56
9280,1696118400,53.62,47.95
9280,1698796800,46.41,47.43
9280,1701388800,46.3,46.75
9281,1677628800,46.59,47.04
9281,1680307200,44.26,46.06
9281,1682899200,44.26,45.66
9282,1677628800,47.37,46.27
9282,1680307200,49.06,46.81
9282,1682899200,48.15,46.9
9282,1685577600,49.42,47.12
9282,1688169600,47.37,46.07
9282,1690848000,46.91,45.37
9282,1693526400,50,47.36
9282,1696118400,47.95,46.75
9282,1698796800,49.04,46.99
9282,1701388800,48.48,46.75
9282,1704067200,46.58,46.13
9282,1706745600,47.06,46.28
9283,1677628800,44.26,45.15
9283,1680307200,44.26,46.44
9283,1682899200,44.26,45.83
9283,1685577600,42,47.02
9283,1688169600,44.26,44.5
9283,1690848000,44.26,42.91
9283,1693526400,51.36,51.27
9283,1696118400,53.62,51.06
9283,1698796800,46.67,48.43
9283,1701388800,46.3,47.57
9283,1704067200,45.13,48.41
9284,1677628800,46.41,187.02
9284,1680307200,47.48,88.53
9284,1682899200,46.15,77.01
9284,1685577600,35.33,100.63
9284,1688169600,44,136.79
9284,1690848000,42.65,189.22
9284,1693526400,42.82,42.89
9284,1696118400,42.82,42.89
9284,1698796800,46.36,58.05
9284,1701388800,46.36,58.05
9284,1704067200,46.36,58.05
9284,1706745600,46.36,58.05
9294,1677628800,47.98,48.01
9294,1680307200,44.44,47.46
9294,1682899200,44.26,46.62
9294,1685577600,44.26,49.77
9294,1688169600,44.26,44.96
9294,1690848000,44.26,42.62
9294,1693526400,54.41,52.81
9294,1696118400,55.56,50.16
9294,1698796800,53.57,50.81
9294,1701388800,50,48.96
9294,1704067200,46.67,47.72
9294,1706745600,46.67,47.72
9295,1677628800,53.72,56.33
9295,1680307200,59.83,57.95
9295,1682899200,57.14,57.81
9295,1685577600,46.67,57.26
9295,1688169600,47.78,59.35
9295,1690848000,48.33,58.08
9295,1693526400,47.78,56.9
9295,1696118400,45.93,54.72
9295,1698796800,44.44,54.49
9295,1701388800,40.97,49.81
9295,1704067200,44.67,53.18
9295,1706745600,44.93,52.96
9296,1677628800,69.39,72.23
9296,1680307200,72.22,76
9296,1682899200,69.14,73.31
9296,1685577600,72.5,75.34
9296,1688169600,68.75,73.16
9296,1690848000,70,75.76
9296,1693526400,73.75,76.19
9296,1696118400,74.82,76.74
9296,1698796800,77.78,78.64
9296,1701388800,75.34,77.19
9296,1704067200,75,76.86
9296,1706745600,76.92,77.63
9297,1677628800,41.61,41.9
9297,1680307200,45.71,43.43
9297,1682899200,47.06,47.17
9297,1685577600,45,46.04
9297,1688169600,41.17,44.67
9297,1690848000,41.17,41.99
9297,1693526400,41.67,43.19
9297,1696118400,44.12,42.68
9297,1698796800,39.29,41.07
9297,1701388800,41.92,43.17
9297,1704067200,41.73,43.69
9297,1706745600,41.25,43.71
9269,1677628800,28.27,27.63
9269,1680307200,30.56,30.59
9269,1682899200,32.34,29.47
9269,1685577600,29.57,27.42
9269,1688169600,30.28,29.82
9269,1690848000,22.61,26.89
9269,1693526400,29.35,29.61
9269,1696118400,29.35,29.61
9269,1698796800,27.23,58.2
9269,1701388800,28.4,28.9
9269,1704067200,28.4,28.9
9269,1706745600,28.4,28.9
9270,1677628800,52.64,47.42
9270,1680307200,50,48.7
9270,1682899200,48.74,42.81
9270,1685577600,47.4,40.3
9270,1688169600,43.9,37.24
9270,1690848000,50,42.8
9270,1693526400,43.83,46.84
9270,1696118400,52,44.79
9270,1698796800,47.82,98.61
9270,1701388800,48.45,44.13
9270,1704067200,48.45,44.13
9270,1706745600,48.45,44.13
9327,1677628800,44.1,39.98
9327,1680307200,52.78,83.41
9327,1682899200,64.47,116.47
9327,1685577600,50.67,129.43
9327,1688169600,53.24,153.2
9327,1690848000,64.81,143.89
9327,1693526400,62.82,60.05
9327,1696118400,61.49,50.65
9327,1698796800,67.29,68.05
9327,1701388800,63.79,58.4
9327,1704067200,60.7,57.48
9327,1706745600,60.7,57.48
9299,1677628800,46.88,192.8
9299,1680307200,55.07,75.18
9299,1682899200,52.83,109.95
9299,1685577600,53.36,44.33
9299,1688169600,49.19,105.37
9299,1690848000,54.05,254.65
9299,1693526400,57.97,55.69
9299,1696118400,54.74,96
9299,1698796800,52.5,276.5
9299,1701388800,53.74,58.15
9299,1704067200,54.39,56.5
9299,1706745600,54.39,56.5
9302,1677628800,27.27,30.43
9302,1680307200,30,33.23
9302,1682899200,30.67,40.96
9302,1685577600,30,32.7
9302,1688169600,41.25,44.82
9302,1690848000,30.13,43.44
9302,1693526400,30.13,43.44
9302,1696118400,28.45,39.69
9302,1698796800,30,33.75
9302,1701388800,30,33.41
9302,1704067200,28.33,35.09
9302,1706745600,28.33,35.09
9308,1677628800,40.41,38.92
9308,1680307200,39.29,39.77
9308,1682899200,38.02,36.24
9308,1685577600,38.62,36.07
9308,1688169600,38.72,36.45
9308,1690848000,39,37.5
9308,1693526400,39.09,37.75
9308,1696118400,37.57,37.02
9308,1698796800,39.85,37.51
9308,1701388800,40.75,40.26
9308,1704067200,41.41,41.09
9308,1706745600,41.41,41.09
9312,1677628800,42.83,135.07
9312,1680307200,39.67,317.76
9312,1682899200,41.5,115
9312,1685577600,39.03,122.45
9312,1688169600,38.75,230.97
9312,1690848000,42.84,262.21
9312,1693526400,42.6,239.39
9312,1696118400,42.6,239.39
